,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,14.016501522064209,0.41140904734364414,0.016578006744384765,0.003140875163833054,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-2.6056288324395913,-2.457659016368801,-2.645914067579092,-2.3569573908671293,-2.6041847861021425,-2.5340688186713516,0.1093191290756251,39,-1.8883867183737022,-1.8669095554627417,-1.79434992315659,-1.8952535381776454,-2.021829196801549,-1.8933457863944458,0.07353267826813252
1,13.871091318130492,0.34211613091598686,0.021718883514404298,0.0018935045382382561,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-2.594381401745335,-2.5179153319279015,-2.552161104199842,-2.350014960133448,-2.5199399712672004,-2.5068825538547452,0.08319357644065864,11,-2.194115876430588,-2.146774446618675,-2.0642207395992953,-2.1470680053190403,-2.1476083889996374,-2.1399574913934476,0.04201131457874034
2,14.645995283126831,0.6007104461850289,0.026760578155517578,0.007617148102863704,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-2.6056288324395913,-2.457659016368801,-2.645914067579092,-2.3569573908671293,-2.6041847861021425,-2.5340688186713516,0.1093191290756251,39,-1.8883867183737022,-1.8669095554627417,-1.79434992315659,-1.8952535381776454,-2.021829196801549,-1.8933457863944458,0.07353267826813252
3,13.77850284576416,0.6652155904712682,0.021679449081420898,0.0038022937898997237,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-2.594381401745335,-2.5179153319279015,-2.552161104199842,-2.350014960133448,-2.5199399712672004,-2.5068825538547452,0.08319357644065864,11,-2.194115876430588,-2.146774446618675,-2.0642207395992953,-2.1470680053190403,-2.1476083889996374,-2.1399574913934476,0.04201131457874034
4,25.174336671829224,0.724349138326824,0.026163101196289062,0.008573992884413883,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-2.6322750070396177,-2.5137077013584164,-2.5995049419195713,-2.286874393520044,-2.587505433265866,-2.523973495420703,0.12473323102152307,27,-1.9140028007756826,-1.8682066223195306,-1.8201125219860481,-1.9230860525857219,-1.9035553263332068,-1.885792664800038,0.03774988937528687
5,22.966781330108642,1.3631124181418883,0.03233394622802734,0.00803765923198812,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-2.5785883155210305,-2.542730922608856,-2.594768654256644,-2.2600935469102383,-2.494951049876445,-2.494226497834643,0.1219812152818996,5,-2.1113217394409656,-2.1073312718555335,-2.11942926329923,-2.1783378133568188,-2.138987335774958,-2.1310814847455015,0.026022903319086573
6,24.763707160949707,1.3453468420494783,0.024591970443725585,0.01125559673750022,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-2.6322750070396177,-2.5137077013584164,-2.5995049419195713,-2.286874393520044,-2.587505433265866,-2.523973495420703,0.12473323102152307,27,-1.9140028007756826,-1.8682066223195306,-1.8201125219860481,-1.9230860525857219,-1.9035553263332068,-1.885792664800038,0.03774988937528687
7,23.887628841400147,1.4041119960999138,0.029290246963500976,0.009689992286289001,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-2.5785883155210305,-2.542730922608856,-2.594768654256644,-2.2600935469102383,-2.494951049876445,-2.494226497834643,0.1219812152818996,5,-2.1113217394409656,-2.1073312718555335,-2.11942926329923,-2.1783378133568188,-2.138987335774958,-2.1310814847455015,0.026022903319086573
8,14.500394487380982,0.3865433036425337,0.020975017547607423,0.003142199116539919,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-2.70871770451312,-2.6355424431936907,-2.573468079259611,-2.3410334449177865,-2.640319268940201,-2.579816188164882,0.1268377989078943,45,-1.4611132787374161,-1.377796016940381,-1.4160550332627972,-1.5657190741390734,-1.5402297083623468,-1.4721826222884027,0.07149984843839581
9,13.375045585632325,2.176244977305282,0.025902509689331055,0.01196409309967768,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-2.9543279416711035,-2.7303730471818386,-3.0507363713022073,-2.34813602305627,-2.507577338607223,-2.7182301443637287,0.263740127449175,94,-2.1202076144787467,-2.128811026523761,-2.3619714494123416,-1.9937676572560539,-2.0751007782861897,-2.1359717051914187,0.12272157695727891
