,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,25.24722466468811,12.304156713155418,0.02927088737487793,0.03735806101006075,relu,0.0001,"(50,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",-3.1496197124104413,-2.741899285818057,-3.378503595271745,-2.3733759118631594,-3.0621108488887896,-2.9411018708504386,0.3496963156606229,61,-1.7218726975760172,-1.4392167363489243,-1.4026410373301368,-1.4683342721566297,-1.425918238736488,-1.4915965964296394,0.11707997813102754
1,50.636472129821776,3.7478300386150107,0.009592342376708984,0.0019580287614789603,relu,0.0001,"(50,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'sgd'}",-2.860655856321399,-2.8910705929747462,-2.930781510405217,-2.4364324154915495,-2.8721674798301486,-2.7982215710046114,0.18245575292470773,59,-1.2040220398091674,-1.3221486364175428,-1.4811732451589679,-1.1608153832002273,-1.1004802531933306,-1.253727911555847,0.13490814043159927
2,34.117741918563844,10.072374691255728,0.027982425689697266,0.038011883131261526,relu,0.0001,"(50,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-3.1496197124104413,-2.741899285818057,-3.378503595271745,-2.3733759118631594,-3.0621108488887896,-2.9411018708504386,0.3496963156606229,61,-1.7218726975760172,-1.4392167363489243,-1.4026410373301368,-1.4683342721566297,-1.425918238736488,-1.4915965964296394,0.11707997813102754
3,53.05002508163452,15.619847338875188,0.006400156021118164,0.001962319518949372,relu,0.0001,"(50,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-2.7881378865946465,-2.762672225181332,-2.8236345775722036,-2.338982450314469,-2.75670170380712,-2.6940257686939546,0.17908204869896488,46,-0.9689520479293342,-0.947967987759695,-0.967844971730017,-0.9721321339367395,-0.8828056267843243,-0.947940553628022,0.03366143418855372
4,36.098259687423706,14.843169609594808,0.0344937801361084,0.03485209392721935,relu,0.0001,"(100,)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-3.0371379116628843,-2.8163318377161337,-3.0532459741700455,-2.5603717807310775,-3.427050178445806,-2.9788275365451895,0.2868281060597661,69,-2.120547097197765,-2.2963728837481194,-1.511238958564718,-1.5390580323632297,-1.3378574067587894,-1.7610148757265243,0.37592198863112414
5,86.2180142879486,21.451745912146336,0.027836370468139648,0.03216103519887457,relu,0.0001,"(100,)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-2.583135698436329,-3.00270714863318,-2.8712868607624915,-2.375321509359557,-2.752524025827579,-2.7169950486038275,0.21970835608684705,54,-1.1664298731242624,-1.785496788971762,-1.1561104863043457,-1.177995375405281,-0.9936223883583499,-1.2559309824328004,0.2732377283019727
6,33.54027013778686,15.291366126133404,0.015986871719360352,0.0025288111866873866,relu,0.0001,"(100,)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-3.0371379116628843,-2.8163318377161337,-3.0532459741700455,-2.5603717807310775,-3.427050178445806,-2.9788275365451895,0.2868281060597661,69,-2.120547097197765,-2.2963728837481194,-1.511238958564718,-1.5390580323632297,-1.3378574067587894,-1.7610148757265243,0.37592198863112414
7,88.7309304714203,27.938529211136565,0.010255813598632812,0.0018640028842130316,relu,0.0001,"(100,)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-2.621548977173847,-2.766298211431653,-2.8687169974482005,-2.394321019936512,-2.6905752707543056,-2.668292095348904,0.1596978079603071,33,-0.9353013051743226,-1.042674860454876,-0.9018840410990364,-0.9610674982112013,-0.8075485832732207,-0.9296952576425314,0.07677670183587457
8,39.08611011505127,8.830673489289982,0.028783893585205077,0.04165597747939298,relu,0.0001,"(50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-2.8141775263078284,-2.610344580957052,-2.645737039075476,-2.1888336845650067,-2.977470845626231,-2.647312735306319,0.2639774246064427,24,-1.2749159375059085,-1.296015403492653,-1.3369489248480169,-1.078938975489239,-0.9655014501627907,-1.1904641382997216,0.14337157434916378
9,51.22770938873291,13.315060883291071,0.006396293640136719,0.0019569014534829114,relu,0.0001,"(50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-2.6461451804410485,-2.849088106888536,-2.6644600768856144,-2.25358876583244,-2.891201695416593,-2.660896765092846,0.2256486005985744,31,-1.063084038125512,-1.1587668806324072,-0.8304686541682861,-1.1535532130912443,-1.018390012020021,-1.044852559607494,0.11982104718913184
